codigo,texto
4.4.91.39.00,Outros Serviços de Terceiros - Pessoa Jurídica
4.4.91.47.00,Obrigações Tributárias e Contributivas
4.4.91.51.00,Obras e Instalações
4.4.91.52.00,Equipamentos e Material Permanente
4.4.91.91.00,Sentenças Judiciais
4.4.91.99.00,A Classificar
4.4.92.00.00,Aplicação Direta de Recursos Recebidos de Outros Entes da Federação Decorrentes de Delegação ou Descentralização
4.4.92.20.00,Auxílio Financeiro a Pesquisadores
4.4.92.51.00,Obras e Instalações
4.4.92.52.00,Equipamentos e Material Permanente
4.4.92.99.00,A Classificar
4.4.93.00.00,"Aplicação Direta Decorrente de Operação de Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social com Consórcio Público do qual o Ente Participe"
4.4.93.51.00,Obras e Instalações
4.4.93.52.00,Equipamentos e Material Permanente
4.4.93.99.00,A Classificar
4.4.94.00.00,"Aplicação Direta Decorrente de Operação de Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social com Consórcio Público do qual o Ente Não Participe"
4.4.94.51.00,Obras e Instalações
4.4.94.52.00,Equipamentos e Material Permanente
4.4.94.99.00,A Classificar
4.4.95.00.00,"Aplicação Direta à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
4.4.95.51.00,Obras e Instalações
4.4.95.52.00,Equipamentos e Material Permanente
4.4.95.61.00,Aquisição de Imóveis
4.4.95.91.00,Sentenças Judiciais
4.4.95.92.00,Despesas de Exercícios Anteriores
4.4.95.93.00,Indenizações e Restituições
4.4.95.99.00,A Classificar
4.4.96.00.00,"Aplicação Direta à conta de recursos de que trata o art. 25 da Lei Complementar n o 141, de 2012"
4.4.96.51.00,Obras e Instalações
4.4.96.52.00,Equipamentos e Material Permanente
4.4.96.61.00,Aquisição de Imóveis
4.4.96.91.00,Sentenças Judiciais
4.4.96.92.00,Despesas de Exercícios Anteriores
4.4.96.93.00,Indenizações e Restituições
4.4.96.99.00,A Classificar
4.4.99.00.00,A Definir
4.4.99.99.00,A Classificar
4.5.00.00.00,INVERSÕES FINANCEIRAS
4.5.30.00.00,Transferências a Estados e ao Distrito Federal
4.5.30.41.00,Contribuições
4.5.30.42.00,Auxílios
4.5.30.99.00,A Classificar
4.5.31.00.00,Transferências a Estados e ao Distrito Federal - Fundo a Fundo
4.5.31.41.00,Contribuições - Fundo a Fundo
4.5.31.42.00,Auxílios - Fundo a Fundo
4.5.31.99.00,A Classificar
4.5.32.00.00,Execução Orçamentária Delegada a Estados e ao Distrito Federal
4.5.32.61.00,Aquisição de Imóveis
4.5.32.64.00,Aquisição de Títulos Representativos de Capital já Integralizado
4.5.32.65.00,Constituição ou Aumento de Capital de Empresas
4.5.32.66.00,Concessão de Empréstimos e Financiamentos
4.5.32.99.00,A Classificar
4.5.40.00.00,Transferências a Municípios
4.5.40.41.00,Contribuições
4.5.40.42.00,Auxílios
4.5.40.99.00,A Classificar
4.5.41.00.00,Transferências a Municípios - Fundo a Fundo
4.5.41.41.00,Contribuições - Fundo a Fundo
4.5.41.42.00,Auxílios - Transferências Fundo a Fundo
4.5.41.99.00,A Classificar
4.5.42.00.00,Execução Orçamentária Delegada a Municípios
4.5.42.64.00,Aquisição de Títulos Representativos de Capital já Integralizado
4.5.42.66.00,Concessão de Empréstimos e Financiamentos
4.5.42.99.00,A Classificar
4.5.50.00.00,Transferências a Instituições Privadas sem Fins Lucrativos
4.5.50.66.00,Concessão de Empréstimos e Financiamentos
4.5.50.99.00,A Classificar
4.5.70.00.00,Transferências a Instituições Multigovernamentais
4.5.70.41.00,Contribuições
4.5.70.42.00,Auxílios
4.5.41.99.00,A Classificar
4.5.71.00.00,Transferências a Consórcios Públicos mediante contrato de rateio
4.5.71.70.00,Rateio pela Participação em Consórcio Público
4.5.71.99.00,A Classificar
4.5.72.00.00,Execução Orçamentária Delegada a Consórcios Públicos
4.5.72.99.00,A Classificar
4.5.73.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
4.5.73.70.00,Rateio pela Participação em Consórcio Público
4.5.73.99.00,A Classificar
4.5.74.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que trata o art. 25 da Lei Complementar n o 141, de 2012"
4.5.74.70.00,Rateio pela Participação em Consórcio Público
4.5.74.99.00,A Classificar
4.5.80.00.00,Transferências ao Exterior
4.5.80.66.00,Concessão de Empréstimos e Financiamentos
4.5.80.99.00,A Classificar
4.5.90.00.00,Aplicações Diretas
4.5.90.27.00,"Encargos pela Honra de Avais, Garantias, Seguros e Similares"
4.5.90.61.00,Aquisição de Imóveis
4.5.90.62.00,Aquisição de Produtos para Revenda
4.5.90.63.00,Aquisição de Títulos de Crédito
4.5.90.64.00,Aquisição de Títulos Representativos de Capital já Integralizado
4.5.90.65.00,Constituição ou Aumento de Capital de Empresas
4.5.90.66.00,Concessão de Empréstimos e Financiamentos
4.5.90.67.00,Depósitos Compulsórios
4.5.90.84.00,"Despesas Decorrentes da Participação em Fundos, Organismos, ou Entidades Assemelhadas, Nacionais e Internacionais"
4.5.90.91.00,Sentenças Judiciais
4.5.90.92.00,Despesas de Exercícios Anteriores
4.5.90.93.00,Indenizações e Restituições
4.5.90.99.00,A Classificar
4.5.91.00.00,"Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social"
4.5.91.47.00,Obrigações Tributárias e Contributivas
4.5.91.61.00,Aquisição de Imóveis
4.5.91.62.00,Aquisição de Produtos para Revenda
4.5.91.65.00,Constituição ou Aumento de Capital de Empresas
4.5.91.66.00,Concessão de Empréstimos e Financiamentos
4.5.91.84.00,"Despesas Decorrentes da Participação em Fundos, Organismos, ou Entidades Assemelhadas, Nacionais e Internacionais"
4.5.91.91.00,Sentenças Judiciais
4.5.91.92.00,Despesas de Exercícios Anteriores
4.5.91.99.00,A Classificar
4.5.95.00.00,"Aplicação Direta à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
4.5.95.61.00,Aquisição de Imóveis
4.5.95.67.00,Depósitos Compulsórios
4.5.95.91.00,Sentenças Judiciais
4.5.95.92.00,Despesas de Exercícios Anteriores
4.5.95.93.00,Indenizações e Restituições
4.5.95.99.00,A Classificar
4.5.96.00.00,"Aplicação Direta à conta de recursos de que trata o art. 25 da Lei Complementar n o 141, de 2012"
4.5.96.61.00,Aquisição de Imóveis
4.5.96.67.00,Depósitos Compulsórios
4.5.96.91.00,Sentenças Judiciais
4.5.96.92.00,Despesas de Exercícios Anteriores
4.5.96.93.00,Indenizações e Restituições
4.5.96.99.00,A Classificar
4.5.99.00.00,A Definir
4.5.99.99.00,A Classificar
4.6.00.00.00,AMORTIZAÇÃO DA DÍVIDA
4.6.71.00.00,Transferências a Consórcios Públicos mediante contrato de rateio
4.6.71.70.00,Rateio pela Participação em Consórcio Público
4.6.71.99.00,A Classificar
4.6.73.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
4.6.73.70.00,Rateio pela Participação em Consórcio Público
4.6.73.99.00,A Classificar
4.6.74.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que trata o art. 25 da Lei Complementar n o 141, de 2012"
4.6.74.70.00,Rateio pela Participação em Consórcio Público
4.6.74.99.00,A Classificar
4.6.90.00.00,Aplicações Diretas
4.6.90.26.00,Obrigações Decorrentes de Política Monetária
4.6.90.71.00,Principal da Dívida Contratual Resgatado
4.6.90.72.00,Principal da Dívida Mobiliária Resgatado
4.6.90.73.00,Correção Monetária ou Cambial da Dívida Contratual Resgatada
4.6.90.74.00,Correção Monetária ou Cambial da Dívida Mobiliária Resgatada
4.6.90.75.00,Correção Monetária da Dívida de Operações de Crédito por Antecipação da Receita
4.6.90.76.00,Principal Corrigido da Dívida Mobiliária Refinanciado
4.6.90.77.00,Principal Corrigido da Dívida Contratual Refinanciado
4.6.90.91.00,Sentenças Judiciais
4.6.90.92.00,Despesas de Exercícios Anteriores
4.6.90.93.00,Indenizações e Restituições
4.6.90.99.00,A Classificar
4.6.91.00.00,"Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social"
4.6.91.76.00,Principal Corrigido da Dívida Mobiliária Refinanciado
4.6.91.99.00,A Classificar
4.6.95.00.00,"Aplicação Direta à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
4.6.95.71.00,Principal da Dívida Contratual Resgatado
4.6.95.73.00,Correção Monetária ou Cambial da Dívida Contratual Resgatada
4.6.95.77.00,Principal Corrigido da Dívida Contratual Refinanciado
4.6.95.91.00,Sentenças Judiciais
4.6.95.92.00,Despesas de Exercícios Anteriores
4.6.95.93.00,Indenizações e Restituições
4.6.95.99.00,A Classificar
4.6.96.00.00,"Aplicação Direta à conta de recursos de que trata o art. 25 da Lei Complementar n o 141, de 2012"
4.6.96.71.00,Principal da Dívida Contratual Resgatado
4.6.96.73.00,Correção Monetária ou Cambial da Dívida Contratual Resgatada
4.6.96.77.00,Principal Corrigido da Dívida Contratual Refinanciado
4.6.96.91.00,Sentenças Judiciais
4.6.96.92.00,Despesas de Exercícios Anteriores
4.6.96.93.00,Indenizações e Restituições
4.6.96.99.00,A Classificar
4.6.99.00.00,A Definir
4.6.99.99.00,A Classificar
9.9.99.99.99,Reserva de Contingência
