"id_relatorio_gestao","situacao_relatorio_gestao","parecer_relatorio_gestao","id_plano_acao"
2158,"DISPONIBILIZADO","EMPRESA: S. R. ROMANELLI FILHO - EQUIPAMENTOS RODOVIARIOS
CNPJ: 14.055.256/0001-00
EMPENHO 772-2022 
NF 1780 -  
DATA DE PAGAMENTO 08/07/2022
VALOR DE R$ 525.782,53 SENDO R$ 23.582,53 DE RENDIMENTOS
AQUISIÇÃO DE UMA USINA DE MICROPAVIMENTAÇÃO COM CAPACIDADE DE 7 M³, ATENDENDO A SECRETARIA MUNICIPAL DE OBRAS E URBANISMO
CONTRAPARTIDA R$ 250.217,47 RECURSOS PRÓPRIO MUNICÍPIO
VALOR TOTAL USINA DE MICROPAVIMENTO  R$ 776.000,00

EMPRESA: VCA AUTOMOTORES LTDA
CNPJ : 24.380.089/0001-27
EMPENHO 11117-2021 
NF 17515 
DATA PAGAMENTO 04/01/2022 
VALOR 497.800,00
AQUISIÇÃO DE UM VEÍCULO CAMINHÃO 6X4 ""0"" KM COM 3 (TRÊS) EIXOS ATENDENDO A SECRETARIA MUNICIPAL DE OBRAS E URBANISMO. ",12702
12972,"DISPONIBILIZADO","Utilizamos o recurso, recebido via Emenda Parlamentar do Deputado Carlos Zarattini, no valor de R$ 300.000,00, para a contratação de empresa especializada para “Demolição e Construção da Nova Sede da Associação Amigos de Bairro da Vila Nova, em São Roque/SP, com fornecimento de material, equipamentos e mão de obra, via Tomada de Preços Nº 023/2022. A empresa vencedora do certame mencionado foi a DE PAULA MENEZES CONSTRUÇÕES LTDA, no valor total R$ 604.919,57 (inclusa contrapartida financeira).
O Objeto foi concluído em sua totalidade, conforme demonstram as medições e o relatório fotográfico anexado neste relatório. 
",9891
3113,"DISPONIBILIZADO","Execução da Pavimentação em Trecho da Estrada geral , localizada na linha Campo Grande, interior do Município de Santa Terezinha do Progresso, conforme Boletim de medição 02.",9932
4031,"EM_ELABORACAO","Processo Licitatório e prestação de contas ",9900
2224,"DISPONIBILIZADO","Reforma da Praça com: revitalização e recuperação do piso em mosaico português, do ladrilho hidráulico e do piso de concreto, construção de palco e pergolado de madeira aparente, substituição e recuperação do paisagismo e revitalização geral da área. Limpeza geral da obra.",9894
4782,"DISPONIBILIZADO","Execução da última etapa da pavimentação com pedras irregulares no acesso a Linha Vista Alegre, interior do Município de Princesa/SC. Nesta etapa foi executada a pavimentação do trecho compreendido entre as estacas 131+11,12m à 192+5,00 m, sendo pavimentada uma área total de 8.647,43 m².",9941
15518,"EM_ELABORACAO","449052-Aquisição de máquina pesada (Escavadeira Hidráulica sob esteira, nova, zero hora, ano modelo 2021/2022

",9918
1420,"DISPONIBILIZADO","Aquisição de 02 (dois) caminhões equipados com caçamba basculante 10M, Marca Wolkswagen, modelo: VW/24.260 CRM 6X2, Chassi com Motor e cabine para caminhão, Cor branca, Combustível: Díesel, Ano de fabricação: 2021, Ano modelo: 2022.",9921
11071,"DISPONIBILIZADO","Plano de Ação 09032021-009906 - REFORMA E ADEQUAÇÃO EM PRÉDIO ESCOLAR EMEIEF HELENA PINHEIROS KLIGUELFUSS, BAIRRO CAXIMBA - APIAÍ - SP.",9906
4202,"DISPONIBILIZADO","O município optou por pagar parte da execução de uma ponte em concreto armado que dá acesso a uma importante região produtora de grãos e também à reserva indígena Parabubure, da etnia Xavante. O valor do empreendimento foi de R$ 689.325,40, dos quais R$ 300.000,00 foram pagos com recursos da presente emenda, conforme documentos comprobatórios em anexo. Com os rendimentos de aplicação financeira foi pago parte de uma ponte em concreto armado na mesma região da primeira, conforme documentos comprobatórios em anexo.",9928
15735,"EM_ELABORACAO","**Relatório de Gestão - Emenda Especial 202126200005 - Milton Vieira**

**Valor Total da Emenda**: R$ 1.500.000,00  
**Data de Recebimento**: 03/08/2021  
**Valor Total Executado**: R$ 1.597.271,39  
**Rendimentos de Aplicação no período de 2021 à 2024**: R$ 93.747,47
**Transferências recebidas - reforço de caixa**: R$ 3.523,92
**Saldo residual - devolvido em 2024**: R$ 2.720,03

**Recursos Executados**:

1. **Secretaria Municipal de Serviços Urbanos**  
   - **Empenho 5822/2021**: R$ 189.000,00  
     - **Empresa**: Mrl Comercial Ltda (CNPJ: 05.758.045/0001-43)  
     - **Objeto**: Aquisição de material permanente – Kit Multiatividade

2. **Secretaria Municipal de Obras**  
   - **Empenho 656/2022**: R$ 717.375,37  
     - **Empresa**: Vigent Construções LTDA (CNPJ: 15.320.722/0001-09)  
     - **Objeto**: Execução de serviços de drenagem
   - **Empenho 1998/2022**: R$ 180.891,14  
     - **Empresa**: Vigent Construções LTDA (CNPJ: 15.320.722/0001-09)  
     - **Objeto**: Execução de serviços de drenagem
   - **Empenho 1186/2022**: R$ 12.758,52  
     - **Empresa**: Sentido Engenharia LTDA (CNPJ: 27.595.104/0001-42)  
     - **Objeto**: Execução de serviço de pórtico e totens
   - **Empenho 1187/2022**: R$ 14.755,06  
     - **Empresa**: W.m.c. Construtora LTDA (CNPJ: 10.955.449/0001-67)  
     - **Objeto**: Construção do recuo de estacionamento – carga e descarga
   - **Empenho 1188/2022**: R$ 23.827,53  
     - **Empresa**: E de Souza Lopes (CNPJ: 42.041.320/0001-30)  
     - **Objeto**: Manutenção do anexo do fórum
   - **Empenho 1189/2022**: R$ 32.017,33  
     - **Empresa**: Rodrigues e Ortiz Pavimentação e Construção LTDA (CNPJ: 29.604.968/0001-09)  
     - **Objeto**: Serviços de drenagem
   - **Empenho 1943/2022**: R$ 32.856,58  
     - **Empresa**: Fabio Bretas Maia (CNPJ: 22.042.664/0001-56)  
     - **Objeto**: Reparo e manutenção do telhado da base policial
   - **Empenho 2045/2022**: R$ 25.866,60  
     - **Empresa**: Cleusa Regina Clementino dos Santos (CNPJ: 40.995.541/0001-11)  
     - **Objeto**: Execução de obras e reformas
   - **Empenho 685/2023**: R$ 177.673,00  
     - **Empresa**: Construtora Calafate LTDA (CNPJ: 25.330.203/0001-77)  
     - **Objeto**: Construção de pista de caminhada
   - **Empenho 4765/2023**: R$ 16.300,00  
     - **Empresa**: Rodrigues e Ortiz Pavimentação e Construção LTDA (CNPJ: 29.604.968/0001-09)  
     - **Objeto**: Construção de muro de arrimo

3. **Secretaria Municipal de Esporte**  
   - **Empenho 2406/2022**: R$ 84.173,20  
     - **Empresa**: Suzuki Engenharia e Construções LTDA (CNPJ: 72.743.883/0001-30)  
     - **Objeto**: Construção de equipamento esportivo para terceira idade
   - **Empenho 2407/2022**: R$ 26.368,84  
     - **Empresa**: Suzuki Engenharia e Construções LTDA (CNPJ: 72.743.883/0001-30)  
     - **Objeto**: Construção de equipamento esportivo para terceira idade

4. **Secretaria Municipal de Serviços Urbanos**  
   - **Empenho 6095/2022**: R$ 58.900,00  
     - **Empresa**: Suzuki Engenharia e Construções LTDA (CNPJ: 72.743.883/0001-30)  
     - **Objeto**: Construção de quadra de bocha

 Pagamento de tarifas bancárias:
- Pagamento de R$ 1.788,19 pagos durante o período de 2021 a 2024.
  
**Conclusão**: Os recursos da emenda foram integralmente utilizados conforme os empenhos citados, com um saldo residual de R$ 2.702,03 devolvido em 2024.",9963
16339,"EM_ELABORACAO","REFORMA DA PRAÇA DO PARAÍSO",9997
8326,"DISPONIBILIZADO","OBJETO:

1. Construção de Refeitório na Escola Municipal de Ensino Fundamental José do Patrocínio no Município de Seringueiras.

",9973
4089,"DISPONIBILIZADO","Anexo de processo de processo licitatório para aquisição de Equipamento de proteção Individual para uso progressivo da Força; Aquisição de materiais permanentes para mobiliar a Semiliberdade e aquisição de Parque tecnológico para suprir as necessidades da FCRIA.",9985
8995,"DISPONIBILIZADO","RELATORIO DE GESTÃO PARCIAL - PRESTAÇÃO DE CONTAS E DEMAIS DOCUMENTOS CONSTAM EM ANEXO.
",13459
10883,"EM_ELABORACAO","No Processo Administrativo nº 386/2023 feito a Contratação de empresa especializada para construção da garagem municipal, com área total de construção: 252,75 m², obra está localizada a Avenida dos Migrantes, S/N, neste município, no contrato celebrado com o valor de R$ 229.455,44, más teve problemas na execução e a obra foi paralisada e utilizado apenas o valor de R$ 147.852,81. 
No Processo Administrativo  nº 607/2022 Contratação empresa especializada para recapeamento em TSD, com extensão de 1.502,05m, e área total de arruamento 9.180,12 m², Trecho: Av. Dos Migrantes entre Av. Marechal Castelo Branco e a Rua Projetada, no município de Mirante da Serra/RO, utilizado saldo, mais rendimentos de aplicação no Valor de R$ 117.970,03 para pagar parte da execução dos serviços.",9968
7286,"DISPONIBILIZADO","RELATÓRIO DE GESTÃO

Ente recebedor: Prefeitura Municipal de Araranguá/SC
CNPJ: 82.911.249/0001-13
Emenda Parlamentar: 202125690003 – Celso Maldaner
Valor de Investimento: R$ 500.000,00
Data de repasse: 03/08/2021
Conta bancária: CEF / 672006-5
Agência: 0427-8

DADOS DA CONTRATAÇÃO :

Empresa Contratada: Pavimentar Engenharia e Construções Ltda
Valor Contratado: R$ 1.182.892,01
Valor Executado após termo aditivo de acréscimo: R$ 1.243.846,40
Valor Executado com recursos desta transferência especial: R$ 500.000,00
Valor Executado com recursos de contrapartida do Município: R$ 691.432,49
Valor Executado com recursos de rendimento de aplicação financeira: R$ 52.413,91

Foi realizado Processo Licitatório 167/2021 – Tomada de preços, com edital publicado em 09 de novembro de 2021, cujo objeto foi a contratação de empresa do ramo pertinente objetivando a execução de serviços, com fornecimento de materiais necessários a pavimentação com CBUQ na Rua Dr. Virgulino de Queiroz (trecho 3) e Rua Isabel Flores Hubbe. A empresa vencedora do certame -  Pavimentar Engenharia e Construções Ltda,  assinou o Contrato 187/2021, em 14 de dezembro de 2021. O valor inicial do contrato foi de R$ 1.182.892,01, sendo R$ 500.000,00 (quinhentos mil reais) da emenda parlamentar e R$ 682.892,01 (seiscentos e oitenta e dois mil, oitocentos e noventa e dois reais e um centavos) de contrapartida do Município. Após execução do valor do contrato original, houve rendimento de aplicação financeira, o que possibilitou a extensão de metragem da pavimentação asfáltica e rede de drenagem pluvial. Com isso, foi realizado termo aditivo de acréscimo ao contrato original no valor de R$ 60.954,39 (sessenta mil, novecentos e cinqüenta e quatro reais e trinta e nove centavos), sendo R$ 52.413,91 (cinqüenta e dois mil, quatrocentos e treze reais e noventa e um centavos) de rendimentos de aplicação financeira e R$ 8.540,48 (oito mil, quinhentos e quarenta reais e quarenta e oito centavos) de contrapartida do Município. 
",9953
3100,"DISPONIBILIZADO","Aquisição de máquinas e equipamentos pesados",9956
7601,"DISPONIBILIZADO","Os recursos da emenda especial cadastrado no plano de ação da plataforma transfereGOV sob n° 09032021-009949, foram utilizados pelo município de Águas Frias para a execução de pavimentação asfáltica de trecho de acesso à linha Josefina (ligando as comunidades da linha Tarumãzinho com a linha Josefina), perfazendo uma área total de 23.644 m². 
A execução da Pavimentação asfáltica de trecho de acesso à linha Josefina, utilizou o valor de R$ 250.000,00 (Duzentos e cinquenta mil reais) da emenda especial federal e o valor de 61.731,16 (sessenta e um mil, setecentos e trinta e um reais com dezesseis centavos) como rendimentos dos recursos da emenda especial federal.
A execução da pavimentação de estradas rurais é de suma importância para os munícipes que utilizam a via, trazendo segurança e comodidade para locomoção, diminuindo custos relativos aos transportes de mercadorias e da produção agrícola, como também segurança ao transporte escolar. 
Por ser essencialmente agrícola, o município de Águas Frias tem se beneficiado com esta obra de pavimentação, pois há diminuição dos custos produtivos e do transporte da produção agrícola e animal, facilitando a chegada da matéria prima até os produtores e escoamento da produção, além de facilitar a locomoção dos técnicos que prestam assistência aos produtores rurais.
Os munícipes que possuem suas residências próximas da estrada, tem uma melhora significativa em sua qualidade de vida, pois além da facilidade em se locomover, também há diminuição da poeira gerada pela estrada de cascalho nos dias secos.
No período chuvoso, a pavimentação traz aos usuários segurança e conforto, diminuindo as possibilidades de acidentes de trânsito e possibilidades de atolamento dos veículos.
Além dos todos os benefícios já citados, para o município há grande economia de recursos, pois com a pavimentação, deixando de ser necessário a realização da manutenção dessas estradas, pois estradas de cascalho rotineiramente necessitam do uso de equipamentos rodoviários para sua manutenção, onde o município necessita investir grandes quantidades de recursos para mantê-las em boas condições.
",9949
4730,"DISPONIBILIZADO","O Paracer do Relatório de Gestão encontra-se em anexo",12836
15791,"DISPONIBILIZADO","Através do Plano de Ação: 09032021-010038 / 2021, disponibilizado por meio de uma emenda do Deputado Federal Domingos Neto a Prefeitura Municipal de Milhã foi realizada a Recuperação de Estradas Vicinais e Manutenção Preventiva e Corretiva na Praça do Distrito de Bom Acerto. 
	O recurso foi gasto com as seguintes metas:
•	Meta 1: Recuperação de Estradas Vicinais 
	Concorrência n° 0802.01.22-CP - Contrato n° 20220899 
	TF LOCAÇÕES E CONSTRUÇÕES PINHEIRO LTDA. 
	Valor: R$ 226.296,89

•	Meta 2: Manutenção Preventiva e Corretiva da Praça do Distrito de Bom Acerto.
	Manutenção Preventiva e Corretiva da Praça do Distrito de Bom Acerto
	Pregão n° 1507.01/21-SRP – Contrato 20220411
	VK SERVIÇOS E CONSTRUÇÕES EIRELLI
	Valor: R$ 91.528,55

",10038
15530,"DISPONIBILIZADO","Os recursos da emenda de transferência especial destinada ao Município de Abreulândia – TO, referente ao Plano de Ação: 09032021-010024 / 2021, foram executados nas seguintes ações:
Objeto 1 – Complemento da Construção do Centro do Centro de Referência da Assistência Social – CRAS
Classificação Orçamentária: 06.14.08.244.0049.1.042 - Construção do Centro de Referência da Assistência Social - CRAS - Destinação de Recursos STN - 706 4.4.90.51
Objeto 2: Pavimentação de ruas e avenidas no município de Abreulândia – TO.
Classificação Orçamentária: 03.20.15.782.0012.1.012- Pavimentação de vias urbanas e construção de meios fios - Destinação de Recursos STN - 706 4.4.90.51
Valor licitado R$ 804.123,10
Licitação: Tomada de Preços n.º 001/2022
Empresa contratada: VM Locações e Serviços de Transportes Eireli - CNPJ: 21.445.159/0001-90.
Objetivos alcançados: 
1.	Redução da poeira e lama
Conforto: O asfalto elimina a formação de lama em períodos chuvosos e a poeira em épocas secas, proporcionando mais conforto para os moradores e motoristas.
Saúde: Menor quantidade de poeira no ar pode reduzir problemas respiratórios e alergias, especialmente em áreas com grande movimentação de veículos.
2.	Melhoria na mobilidade urbana
Fluxo de veículos: Asfalto de boa qualidade facilita a circulação de veículos, reduzindo o tempo de viagem e o congestionamento.
Segurança: As ruas asfaltadas geralmente possuem sinalizações melhores e condições mais seguras para veículos e pedestres.
3.	Valorização imobiliária: Ruas asfaltadas valorizam as propriedades ao redor, aumentando o valor de mercado de imóveis residenciais e comerciais.",10024
7950,"EM_ELABORACAO","Conforme instrução normativa do TCU nº 93, de 17 de janeiro de 2024, a prefeitura municipal de Sertãozinho informa que o objeto que será executado com os recursos da transferência será a Primeira etapa da ampliação da Escola Municipal Ulisses Maurício de Pontes, será utilizado R$ 275.000,00 para a execução dessa obra que tem como previsão de conclusão da obra em dezembro de 2025.",10078
7452,"EM_ELABORACAO","Contração de empresa de engenharia para execução de obras de reforma do campo de futebol Luiz Rodolfo no município de Macaparana. O valor do contrato R$ 356.471,52. Valor do repasse 200.000,00 e valor da contrapartida 156.471,52.",10091
396,"DISPONIBILIZADO","PAVIMENTAÇÃOEM RUAS",10103
4683,"DISPONIBILIZADO","Adquirido pelo município através dos recursos recebidos da emenda parlamentar nº 27180014 uma (01) máquina pá carregadeira de pneus para realização de serviços de manutenção de estradas vicinais, urbanas e rurais e limpezas de canais no município do Cabo de Santo Agostinho estando a máquina de responsabilidade da Secretaria Municipal de Coordenação Regional conforme ordem de fornecimento nº 125/2002, Pregão eletrônico nº 003/20002 e Processo licitatório nº 007/2022. Conforme documentos em anexo a este Relatório.",10088
7941,"DISPONIBILIZADO","Pagamento referente a 1ª e 2ª medições da TP 07/2022 com o objeto de execução dos serviços de de Engenharia para construção da 1ª etapa do parque linear na zona urbana do município de Tenório - PB.",10068
16349,"EM_ELABORACAO","Construção de Portal de Entrada da cidade no trevo da bifurcação da BR-232 com a PE-450, conforme Termo de Referencia, planilha orçamentária, Anexo II e documentos constantes nos autos, bem, como proposta da contratada.

",10095
8644,"EM_ELABORACAO","Recurso utilizado parcialmente. ",10082
15761,"DISPONIBILIZADO","Aquisição de ambulância",10155
2343,"DISPONIBILIZADO","Em conformidade com o Art. 9º da Instrução Normativa TCU - 93, que dispõe sobre as transferências especiais anteriores a 2022, e cujo objeto tenha sido concluído, não são
obrigadas a atestar essa situação no TransfereGov, porém sentimos a necessidade de incluir na lista de anexos, Declaração de Conclusão de Obra e Utilização de Recurso.",12227
15676,"DISPONIBILIZADO","Os recursos provenientes da emenda parlamentar 202127540005, de autoria do Exmo. Deputado Federal Diego Andrade, foram utilizados na produção e instalação de alambrado para o Canil Municipal. Foram repassados valores na ordem de R$100.000,00, no entanto, considerando que este montante ficou aplicado até a sua utilização, ao contratarmos os serviços supracitados, utilizamos parte dos rendimentos da aplicação.
Segue em anexo os empenhos; as notas fiscais e os comprovantes de pagamento dos serviços prestados.",10150
11347,"DISPONIBILIZADO","Programação Finalística – Transferência Especial Federal - Plano de Ação Número - 09032021-010133",10133
344,"DISPONIBILIZADO","CUSTEIO: Manutenção de estradas vicinais e atividades de apoio aos pequenos e médios produtores rurais. 
INVESTIMENTOS : Pavimentação de vias publicas. ",10134
6866,"DISPONIBILIZADO","",10107
4616,"DISPONIBILIZADO","Prestação de contas transferência especiais 2021, conforme os documentos  anexos que comprovam a boa execução da emenda, os mesmos foram empregados na manutenção de estradas no município de malhada de pedras.",10129
3800,"DISPONIBILIZADO","Os recursos da emenda especial destinada ao Estado da Bahia foram executados nas seguintes ações:

- Apoio Técnico e Financeiro a Projeto de Promoção da Igualdade Racial e Desenvolvimento Sustentável de Povos e Comunidade Tradicionais





Descrição das ações executadas pela SEPROMI: O projeto tem como objetivo o Fortalecimento do Sistema Estadual de Promoção da Igualdade Racial por meio da aquisição de bens permanentes para ampliação da capacidade institucional da Sepromi e do Conselho de Desenvolvimento da Comunidade Negra (CDCN); de Órgãos Municipais de Promoção da Igualdade Racial que integram o Fórum Estadual de Gestores Municipais de Promoção da Igualdade Racial e fornecimento de equipamentos às Organizações da Sociedade Civil, de diversos segmentos de Povos e Comunidades Tradicionais, para fortalecimento do ciclo produtivo, visando à geração de trabalho e renda. Como forma de descentralização da política e possibilidade de um suporte de estruturação física, através da aquisição e distribuição de equipamentos (computadores e impressoras) para utilização dos Gestores Municipais de Promoção da Igualdade Racial que integram o Fórum Estadual de Promoção da Igualdade Racial, o projeto beneficiou 28 municípios dos 151 municípios que compõem a instância, propiciando melhoria das condições estruturais dos órgãos municipais de Promoção da Igualdade Racial, visando à eficácia do atendimento as demandas da população negra e dos povos e comunidades tradicionais, ampliando a capacidade de execução das Políticas de Promoção da Igualdade Racial e de Povos e Comunidades Tradicionais nos Municípios beneficiados.
Para essa escolha, foram utilizados os seguintes critérios: municípios que integram o Fórum de Gestores; municípios que não receberam equipamentos do projeto anterior, com isso houve um filtro na relação dos municípios, chegando a um total de 28 municípios contemplados com a entrega do kit de equipamentos. Foram entregues também um kit para o Conselho Estadual de Desenvolvimento da Comunidade Negra – CDCN e um kit para a Coordenação Estadual do Fórum de Gestores de Promoção da Igualdade Racial, totalizando a entrega de 30 kits de equipamentos de informática para o fortalecimento do Sistema Estadual de Promoção da Igualdade Racial (SISEPIR).
A entrega dos equipamentos aos representantes das comunidades foi feita em cerimônia pública, realizada no dia 06 de junho de 2022, no Parque de Exposições com a presença de lideranças de organizações da sociedade civil de diversos territórios de identidade, além de representantes institucionais; Autoridades municipais etc. Durante a cerimônia houve demonstração do uso dos equipamentos
",10114
15880,"EM_ELABORACAO","Aquisição de veículo tipo caminhonete para composição da frota municipal com intuito de agregar aos trabalhos para população, uma vez que o território rural do município é extenso necessitando de veículos especificos para prestação de serviços e fiscalização.",10170
973,"DISPONIBILIZADO","Com intuito de melhorar a infraestrutura das estradas vicinais de nosso município, o recurso disponibilizado através desta indicação foi utilizado na aquisição de 32 unidades de mata-burros metálicos, estes, instalados sobre bases de concreto armado. Com a substituição dos atuais mata-burros de madeira pelos metálicos, o município fará uma vantajosa economia por não ter que ficar aplicando manutenções corretivas e com isso, diminuirá os transtornos causados aos usuários das vias.",10161
349,"DISPONIBILIZADO","Aceite transferência especial.",10177
4088,"DISPONIBILIZADO","O recurso do Plano de Ações nº 09032021-010199, no valor de R$ 200.000,00, foi utilizado para a obra de implantação de reforma e ampliação no Estádio Municipal Darcy Freire. 
Detalhamento segue no Relatório de Gestão em anexo.",10199
1553,"DISPONIBILIZADO","FOI REALIZADO O PAGAMENTO UTILIZANDO O RECURSO DA EMENDA ESPECIAL PARA PAGAMENTO DE PARTE DA PAVIMENTAÇÃO NO POVO DE CONQUISTA ",10164
11038,"DISPONIBILIZADO","O valor referente à esta emenda parlamentar foi utilizado na despesa de aquisição ambulância, lixeiras, mata-burros, capinadeira, roçadeira hidráulica, materiais para construção de muro em campo de futebol local, parte para pavimentação (calçamento em alvenaria poliédrica) em estrada vicinal da Zona Rural e parte para pavimentação asfáltica de diversas ruas do município de Itaguara/MG.

AQUISIÇÃO DE AMBULÂNCIA: R$ 132.890,00
A aquisição de uma ambulância é fundamental para a manutenção dos serviços essenciais de saúde oferecidos pelo município à população, como forma de garantir o bem estar social, segurança e cuidados emergenciais o mais prontamente possível. Com uma nova ambulância, será possível reforçar a frota municipal em prol da eficiência no atendimento, bem como, proporcionar um planejamento mais preciso no cuidado para com os pacientes necessitados de atendimento especializado de qualidade, garantido tratamentos de saúde superiores ao atual, evitando complicações de saúde e apresentando aos munícipes veículos novos e equipados.

AQUISIÇÃO DE LIXEIRAS: R$ 19.500,00
Pensando na limpeza das ruas do município e na preservação do meio ambiente como forma de entregar qualidade de vida aos munícipes, faz-se necessária a aquisição de lixeiras, que vão garantir ao cidadão o local adequado para descarte do lixo produzido nas residências. As lixeiras também facilitam a logística da coleta, viabilizando um serviço mais fluído. O impacto dessa aquisição vai além dos benefícios de curto prazo anteriormente citados, impactando a médio e longo prazo na prevenção de doenças, evitando proliferação de animais e bactérias, e na preservação do meio ambiente, fazendo com que o lixo não se acumule na natureza, trazendo desequilíbrio ambiental.

AQUISIÇÃO DE MATA BURROS: R$ 131.700,00
O município de Itaguara abrange uma alta quilometragem de estradas rurais. Portanto aquisição de mata burros se faz necessária uma vez que, a demanda pela instalação dos mesmos, é de responsabilidade do município. Os mata burros são itens importantes na manutenção das estradas rurais, por serem de material durável, baixo custo de investimento e exigindo pouca manutenção, proporcionando melhor trafegabilidade de veículos e segurança, garantindo a permanência dos animais dentro das divisas de propriedade as quais pertencem.

CAPINADEIRA HIDRÁULICA: R$ 43.900,00
Pensando na manutenção da limpeza, a aquisição da capinadeira hidráulica é fundamental por possuir grande eficiência e baixo custo operacional. O equipamento substitui os produtos químicos utilizados para controle de mato que causam contaminação do solo, além de expor trabalhadores e animais a intoxicação. Além disso ela realiza uma limpeza eficiente e segura, podendo atuar na limpeza de paralelepípedos, pedras irregulares e asfalto.

ROÇADEIRA HIDRÁULICA: R$ 58.000,00
A aquisição de uma roçadeira hidráulica faz-se necessária para viabilizar a limpeza de canteiros, margens das estradas e demais locais que exijam cuidados através da roçada de diversos tipos de vegetação. O equipamento garantirá mais eficiência e otimização do tempo, trazendo uma entrega de resultados muito melhor para a população local.

CONSTRUÇÃO DE MURO AO REDOR DE CAMPO DE FUTEBOL: R$ 26.510,34
O recurso de emenda a ser destinado para aquisição de materiais de construção de muro ao redor de campo de futebol será aplicado na melhoria da estrutura de um dos bairros mais populosos do município, exigindo assim moderação e controle no uso do campo, para facilitar a manutenção, impedindo deterioração em um curto espaço de tempo. Um espaço de uso comum como o campo de futebol, atua na geração de esporte e impacta na saúde e qualidade de vida da população. Portanto, é fundamental investir na estrutura e manutenção do espaço físico, garantindo a toda a população um espaço de lazer adequado e pronto para uso.

PARTE DE PAVIMENTAÇÃO – CALÇAMENTO EM ALVENARIA POLIÉDRICA: R$ 81.868,10
A pavimentação em questão, através do calçamento em alvenaria poliédrica, tem o objetivo de entregar à população rural de Itaguara/MG, estradas em condições de livre tráfego, independente da época do ano, possibilitando aos cidadãos acessar quaisquer localidades que sejam necessárias, principalmente, facilitando o escoamento das produções agrícolas, bem como atuando como facilitador da vida do campo, em nosso município que possui com característica marcante a grande extensão rural e consequentemente a agricultura como geradora de renda e fomentadora da economia local.

PAVIMENTAÇÃO ASFÁLTICA EM DIVERSAS RUAS DO MUNICÍPIO: R$ 84.862,51
Ao longo dos anos, para se adaptar ao desenvolvimento da cidade, foram necessárias mudanças no trânsito, trazendo com isso, também necessidade de adaptações na estrutura das ruas para que a mobilidade urbana flua com eficácia e segurança. A realização da pavimentação asfáltica realizada em diversas ruas de Itaguara/MG, melhora as condições de circulação e a segurança no trânsito, levando em consideração o aumento do fluxo de veículos nas vias beneficiadas. 
",10193
7301,"DISPONIBILIZADO","RELATÓRIO DE GESTÃO

Em 2021, o Município de Conceição das Alagoas, CNPJ nº 18.428.854/0001-39, foi beneficiado com duas emendas parlamentares na Modalidade de Transferência Especial, Programa nº 09032021, conforme os seguintes planos de ação:
- Plano de Ação nº 09032021-009592 = 300.000,00
- Plano de Ação nº 09032021-010265 = 350.000,00

Dados Bancários
- Banco: Caixa Econômica Federal
- Agência: 3538-6
- Conta Corrente: 672002-4
- Conta Poupança: 13874-1 

Receita
- Transferência Especial da União:
* R$300.000,00 
* R$350.000,00 
- Rendimentos de Aplicação:
* R$45.705,68
- Prefeitura Municipal de Conceição das Alagoas:
* R$1.534,32

Com o recurso de R$350.000,00 recebido através da Emenda Parlamentar nº 202127680001 – Weliton Prado, Plano de Ação nº 09032021-010265, foi executada a obra de construção de Pump Track (pista poliesportiva) com revestimento asfáltico, compreendendo uma área total de 2.500 m2, conforme Dispensa de Licitação nº 07/2022, Contrato nº 323/2022 e seus aditivos, no valor de R$350.000,00 (trezentos e cinquenta mil reais), tendo como empresa executora o Consórcio Intermunicipal de Desenvolvimento Regional - CONVALE, CNPJ nº 19.864.323/0001-51.

Execução conforme documentação anexa.",10265
8757,"EM_ELABORACAO","NAP's 19625 e 24055: DESPESAS COM EXECUÇÃO DE OBRAS DE REVITALIZAÇÃO DO PAVIMENTO, DA DRENAGEM SUPERFICIAL E DA SINALIZAÇÃO DAS DIVERSAS VIAS NO MUNICÍPIO DE CONTAGEM/MG, ",13602
4286,"DISPONIBILIZADO","Os recursos foram utilizados nas reformas da Quadra grama sintética na Praça da Juventude e da UBS Taveira neste município, tendo sido executado a contento com todas as intervenções previstas, no qual já estão concluídas conforme relatórios anexo ao processo.. Destaca-se ainda que graças a esse recurso foi possível além do incentivo a pratica desportiva como  melhoria do serviço básico a saúde, dando maior conforto ao público como também aos agentes que trabalham neste local.",13608
595,"DISPONIBILIZADO","Com os recursos da Emenda 202127680001-WELITON PRADO foram utilizados para Aquisição de uma UTI Móvel, ",10273
6775,"DISPONIBILIZADO","Concluído com sucesso a aquisição, feito pagamento ",10299
3070,"DISPONIBILIZADO","PAVIMENTAÇÃO ASFÁLTICA NA RUA VEREADOR JOSÉ MÓDOLO ZELÃO NO
DISTRITO INDUSTRIAL NOVO DO MUNICÍPIO DE CERQUILHO",10312
